round: 0  loss: 3.41812079423280  Accuracy: 20.8834  
round: 1  loss: 2.95857986130225  Accuracy: 22.6935  
round: 2  loss: 2.64116828173550  Accuracy: 25.3050  
round: 3  loss: 2.32203263310444  Accuracy: 27.2557  
round: 4  loss: 2.02460675101185  Accuracy: 28.0997  
round: 5  loss: 1.71044116625725  Accuracy: 29.0025  
round: 6  loss: 1.43061323945068  Accuracy: 30.0814  
round: 7  loss: 1.19754180722636  Accuracy: 30.2951  
round: 8  loss: 0.99455827544256  Accuracy: 31.3093  
round: 9  loss: 0.84755653508012  Accuracy: 31.7907  
round: 10  loss: 0.76154945599758  Accuracy: 31.8192 
round: 11  loss: 0.65635742318576  Accuracy: 32.1783 
round: 12  loss: 0.57477032095797  Accuracy: 32.9031 
round: 13  loss: 0.54770436686323  Accuracy: 31.7605 
round: 14  loss: 0.48840007373487  Accuracy: 33.1902 
round: 15  loss: 0.43319980395171  Accuracy: 33.1240 
round: 16  loss: 0.42561516187546  Accuracy: 33.5404 
round: 17  loss: 0.42914133497219  Accuracy: 32.9512 
round: 18  loss: 0.39729101556955  Accuracy: 33.6978 
round: 19  loss: 0.40088199859339  Accuracy: 33.4808 
round: 20  loss: 0.36409943235866  Accuracy: 33.6547 
round: 21  loss: 0.38642513427945  Accuracy: 33.2764 
round: 22  loss: 0.36832733806419  Accuracy: 33.5481 
round: 23  loss: 0.35889546822935  Accuracy: 34.5554 
round: 24  loss: 0.36588617069524  Accuracy: 33.2174 
round: 25  loss: 0.34950040594269  Accuracy: 34.2656 
round: 26  loss: 0.38197836823382  Accuracy: 34.0122 
round: 27  loss: 0.35342126166635  Accuracy: 33.7673 
round: 28  loss: 0.32176932726148  Accuracy: 33.8056 
round: 29  loss: 0.35310482597439  Accuracy: 34.3755 
round: 30  loss: 0.35160030509306  Accuracy: 34.1614 
round: 31  loss: 0.34372437038382  Accuracy: 34.1137 
round: 32  loss: 0.34094389673514  Accuracy: 33.3384 
round: 33  loss: 0.28149432087330  Accuracy: 33.6082 
round: 34  loss: 0.29987669430834  Accuracy: 33.1822 
round: 35  loss: 0.33122415529739  Accuracy: 33.6647 
round: 36  loss: 0.30977693947408  Accuracy: 33.0319 
round: 37  loss: 0.30036427350495  Accuracy: 33.9256 
round: 38  loss: 0.32461066170598  Accuracy: 33.0847 
round: 39  loss: 0.30045936153586  Accuracy: 33.4212 
round: 40  loss: 0.29035574399744  Accuracy: 33.1217 
round: 41  loss: 0.27961745465218  Accuracy: 33.1353 
round: 42  loss: 0.28784517092532  Accuracy: 33.5058 
round: 43  loss: 0.32024415242226  Accuracy: 33.7568 
round: 44  loss: 0.28946841765229  Accuracy: 33.0223 
round: 45  loss: 0.30537705082585  Accuracy: 34.1835 
round: 46  loss: 0.24928447389062  Accuracy: 31.2935 
round: 47  loss: 0.23486339065986  Accuracy: 32.5913 
round: 48  loss: 0.26655960005008  Accuracy: 34.0712 
round: 49  loss: 0.27482285075189  Accuracy: 31.5711 
round: 50  loss: 0.22956906972043  Accuracy: 32.3207 
round: 51  loss: 0.21788346068953  Accuracy: 31.5001 
round: 52  loss: 0.25215421645040  Accuracy: 31.8981 
round: 53  loss: 0.25021882067680  Accuracy: 31.6652 
round: 54  loss: 0.21528356233072  Accuracy: 33.8530 
round: 55  loss: 0.24077416030786  Accuracy: 34.2742 
round: 56  loss: 0.21968602314598  Accuracy: 30.9608 
round: 57  loss: 0.18304988919278  Accuracy: 32.9804 
round: 58  loss: 0.24218777688190  Accuracy: 32.7228 
round: 59  loss: 0.19221570022462  Accuracy: 31.0825 
round: 60  loss: 0.18122478440393  Accuracy: 30.4137 
round: 61  loss: 0.14839142132359  Accuracy: 30.7270 
round: 62  loss: 0.14819864739790  Accuracy: 33.4468 
