round: 0  loss: 3.39151724006641  Accuracy: 21.8864  
round: 1  loss: 3.12216691697738  Accuracy: 22.9094  
round: 2  loss: 2.96405529117894  Accuracy: 24.1539  
round: 3  loss: 2.78347555836156  Accuracy: 24.3736  
round: 4  loss: 2.67391476473827  Accuracy: 25.7056  
round: 5  loss: 2.53254761358693  Accuracy: 25.3469  
round: 6  loss: 2.38446842668220  Accuracy: 26.6649  
round: 7  loss: 2.26044920294273  Accuracy: 27.1548  
round: 8  loss: 2.11416372339586  Accuracy: 28.4888  
round: 9  loss: 1.99071783118611  Accuracy: 28.1197  
round: 10  loss: 1.83471845169677  Accuracy: 27.9855 
round: 11  loss: 1.71949243176416  Accuracy: 29.1124 
round: 12  loss: 1.59591254032412  Accuracy: 29.8909 
round: 13  loss: 1.45919282121294  Accuracy: 29.7721 
round: 14  loss: 1.33577723536028  Accuracy: 30.0424 
round: 15  loss: 1.21548550746983  Accuracy: 31.0428 
round: 16  loss: 1.10166462451205  Accuracy: 30.5966 
round: 17  loss: 1.01928117888714  Accuracy: 31.1004 
round: 18  loss: 0.94245084084648  Accuracy: 31.6917 
round: 19  loss: 0.88016822956362  Accuracy: 32.3863 
round: 20  loss: 0.79466173927268  Accuracy: 32.2093 
round: 21  loss: 0.74104728207093  Accuracy: 32.4247 
round: 22  loss: 0.67767094706432  Accuracy: 32.0274 
round: 23  loss: 0.62362255461618  Accuracy: 32.5247 
round: 24  loss: 0.60426886545447  Accuracy: 32.3577 
round: 25  loss: 0.57872149336385  Accuracy: 32.4158 
round: 26  loss: 0.50806998833048  Accuracy: 32.7671 
round: 27  loss: 0.50313237404521  Accuracy: 33.1689 
round: 28  loss: 0.48740374641323  Accuracy: 32.1217 
round: 29  loss: 0.42071586215502  Accuracy: 32.8693 
round: 30  loss: 0.39564432748515  Accuracy: 33.4369 
round: 31  loss: 0.36459851986029  Accuracy: 33.1031 
round: 32  loss: 0.34475632905769  Accuracy: 33.2592 
round: 33  loss: 0.32376462972859  Accuracy: 33.4515 
round: 34  loss: 0.33804889031440  Accuracy: 32.3279 
round: 35  loss: 0.31776097808357  Accuracy: 32.3050 
round: 36  loss: 0.29803276691989  Accuracy: 32.2024 
round: 37  loss: 0.28418636856862  Accuracy: 31.6783 
round: 38  loss: 0.27394263917199  Accuracy: 32.3313 
round: 39  loss: 0.22891383254950  Accuracy: 31.9780 
round: 40  loss: 0.20446014190058  Accuracy: 32.9644 
round: 41  loss: 0.19933202841624  Accuracy: 33.8035 
round: 42  loss: 0.24129346600692  Accuracy: 32.7487 
round: 43  loss: 0.20447256205630  Accuracy: 32.5339 
round: 44  loss: 0.21495824770807  Accuracy: 32.4314 
round: 45  loss: 0.19244021114026  Accuracy: 33.5888 
round: 46  loss: 0.19267943655018  Accuracy: 33.2411 
round: 47  loss: 0.16170510092059  Accuracy: 32.5241 
round: 48  loss: 0.16163106643478  Accuracy: 33.4003 
round: 49  loss: 0.13207755233129  Accuracy: 32.7233 
round: 50  loss: 0.14053801177009  Accuracy: 33.2120 
round: 51  loss: 0.13680364193223  Accuracy: 35.1380 
round: 52  loss: 0.08903555589445  Accuracy: 32.8482 
round: 53  loss: 0.10371080833237  Accuracy: 33.5421 
round: 54  loss: 0.11196678260743  Accuracy: 32.4129 
round: 55  loss: 0.12513988896715  Accuracy: 33.3179 
round: 56  loss: 0.12579047602122  Accuracy: 33.4694 
round: 57  loss: 0.10571811461974  Accuracy: 33.3711 
round: 58  loss: 0.06853752199180  Accuracy: 36.5407 
round: 59  loss: 0.09623073172601  Accuracy: 33.1768 
round: 60  loss: 0.08673632154447  Accuracy: 36.4577 
round: 61  loss: 0.10664069070391  Accuracy: 36.4583 
round: 62  loss: 0.08428420239914  Accuracy: 36.6041 
