round: 0  loss: 1.16608142458379  Accuracy: 50.0590  
round: 1  loss: 0.88065874314342  Accuracy: 57.6783  
round: 2  loss: 0.77677208602220  Accuracy: 59.2662  
round: 3  loss: 0.69101604989225  Accuracy: 59.3357  
round: 4  loss: 0.62208088441035  Accuracy: 59.0704  
round: 5  loss: 0.55317318031336  Accuracy: 60.0393  
round: 6  loss: 0.49115654908950  Accuracy: 58.8650  
round: 7  loss: 0.43113169808323  Accuracy: 59.3472  
round: 8  loss: 0.41342908905866  Accuracy: 60.8258  
round: 9  loss: 0.35010118704407  Accuracy: 60.6634  
round: 10  loss: 0.31201561796934  Accuracy: 60.9422 
round: 11  loss: 0.28762764786706  Accuracy: 61.1334 
round: 12  loss: 0.28799075359847  Accuracy: 59.7203 
round: 13  loss: 0.25388477336398  Accuracy: 60.5669 
round: 14  loss: 0.23736993552975  Accuracy: 58.9547 
round: 15  loss: 0.23500824540769  Accuracy: 59.6391 
round: 16  loss: 0.24617882504656  Accuracy: 60.1526 
round: 17  loss: 0.24311954305374  Accuracy: 62.2500 
round: 18  loss: 0.24518825242250  Accuracy: 61.8432 
round: 19  loss: 0.22598388760526  Accuracy: 62.5686 
round: 20  loss: 0.20475838119531  Accuracy: 62.5152 
round: 21  loss: 0.21161232455179  Accuracy: 61.7064 
round: 22  loss: 0.25084663037317  Accuracy: 62.5340 
round: 23  loss: 0.24747810772459  Accuracy: 62.9283 
round: 24  loss: 0.27674068404351  Accuracy: 62.6322 
round: 25  loss: 0.25904733657676  Accuracy: 60.7929 
round: 26  loss: 0.28568673314860  Accuracy: 56.5630 
round: 27  loss: 0.24099876605607  Accuracy: 59.3178 
round: 28  loss: 0.25171195713397  Accuracy: 58.1058 
round: 29  loss: 0.22999393493386  Accuracy: 61.5479 
round: 30  loss: 0.25157749262491  Accuracy: 62.2354 
round: 31  loss: 0.25320701099614  Accuracy: 63.0595 
round: 32  loss: 0.24681193622226  Accuracy: 63.3030 
round: 33  loss: 0.28558590674113  Accuracy: 59.3496 
round: 34  loss: 0.25597906261580  Accuracy: 63.1112 
round: 35  loss: 0.24406827697762  Accuracy: 65.5730 
round: 36  loss: 0.25530692770689  Accuracy: 59.8388 
round: 37  loss: 0.25263280437302  Accuracy: 62.5525 
round: 38  loss: 0.19572733760224  Accuracy: 63.4454 
round: 39  loss: 0.21606410467247  Accuracy: 66.5227 
round: 40  loss: 0.24836404754680  Accuracy: 59.5674 
round: 41  loss: 0.26399035514192  Accuracy: 63.7444 
round: 42  loss: 0.22031412527708  Accuracy: 62.7044 
round: 43  loss: 0.24153096386633  Accuracy: 64.3889 
round: 44  loss: 0.22833675939608  Accuracy: 65.4880 
round: 45  loss: 0.24947961260945  Accuracy: 63.5659 
round: 46  loss: 0.21152393728628  Accuracy: 68.9684 
round: 47  loss: 0.25290512290663  Accuracy: 62.2104 
round: 48  loss: 0.24566152782507  Accuracy: 60.7851 
round: 49  loss: 0.21249464195617  Accuracy: 64.9256 
round: 50  loss: 0.21798318020370  Accuracy: 65.4884 
