round: 0  loss: 1.05748913443484  Accuracy: 60.2746  
round: 1  loss: 0.81665056586595  Accuracy: 63.5804  
round: 2  loss: 0.72006550620086  Accuracy: 64.5739  
round: 3  loss: 0.70288355515386  Accuracy: 66.1028  
round: 4  loss: 0.62184699328464  Accuracy: 65.8248  
round: 5  loss: 0.57298473084699  Accuracy: 67.6243  
round: 6  loss: 0.53578310269390  Accuracy: 67.7183  
round: 7  loss: 0.48533671214202  Accuracy: 67.6001  
round: 8  loss: 0.45565447487685  Accuracy: 67.8159  
round: 9  loss: 0.42528306170281  Accuracy: 68.6381  
round: 10  loss: 0.39190922841928  Accuracy: 68.3903 
round: 11  loss: 0.33730419221209  Accuracy: 65.9861 
round: 12  loss: 0.34523782690298  Accuracy: 67.3819 
round: 13  loss: 0.29030753075476  Accuracy: 68.6595 
round: 14  loss: 0.29713212357889  Accuracy: 67.0095 
round: 15  loss: 0.26551604278932  Accuracy: 68.1524 
round: 16  loss: 0.25115210367213  Accuracy: 66.6199 
round: 17  loss: 0.23589496906554  Accuracy: 66.8053 
round: 18  loss: 0.21906150584325  Accuracy: 64.2795 
round: 19  loss: 0.20041062132193  Accuracy: 67.9526 
round: 20  loss: 0.17340332519948  Accuracy: 68.1512 
round: 21  loss: 0.19250855013925  Accuracy: 69.8242 
round: 22  loss: 0.13592344386774  Accuracy: 71.4162 
round: 23  loss: 0.20790566367276  Accuracy: 64.9733 
round: 24  loss: 0.16922311729011  Accuracy: 65.7485 
round: 25  loss: 0.18335279346867  Accuracy: 68.7434 
round: 26  loss: 0.14981639941380  Accuracy: 69.2302 
round: 27  loss: 0.11346295689106  Accuracy: 68.8290 
round: 28  loss: 0.14458400693277  Accuracy: 68.2830 
round: 29  loss: 0.11724889506867  Accuracy: 69.0017 
round: 30  loss: 0.12968303718969  Accuracy: 72.8502 
round: 31  loss: 0.10531414382696  Accuracy: 71.6834 
round: 32  loss: 0.13692849127678  Accuracy: 70.4030 
round: 33  loss: 0.19991633337908  Accuracy: 67.8562 
round: 34  loss: 0.14927604252594  Accuracy: 67.4064 
round: 35  loss: 0.13657482793978  Accuracy: 69.0173 
round: 36  loss: 0.13606463626620  Accuracy: 68.1296 
round: 37  loss: 0.18021597626841  Accuracy: 68.5223 
round: 38  loss: 0.19145962571834  Accuracy: 70.9947 
round: 39  loss: 0.16277654516881  Accuracy: 68.8148 
round: 40  loss: 0.13849182590214  Accuracy: 71.7119 
round: 41  loss: 0.17940448139726  Accuracy: 70.2280 
round: 42  loss: 0.19838270762850  Accuracy: 69.5576 
round: 43  loss: 0.17186430188163  Accuracy: 68.8119 
round: 44  loss: 0.13553843452642  Accuracy: 68.4483 
round: 45  loss: 0.13916768775782  Accuracy: 67.8267 
round: 46  loss: 0.18628333023794  Accuracy: 67.6084 
round: 47  loss: 0.14383589790260  Accuracy: 71.5351 
round: 48  loss: 0.15121426231313  Accuracy: 67.4511 
round: 49  loss: 0.18846900868192  Accuracy: 69.1902 
round: 50  loss: 0.15707539106148  Accuracy: 68.3020 
round: 51  loss: 0.11089433063668  Accuracy: 70.0652 
round: 52  loss: 0.17279927811127  Accuracy: 68.8183 
round: 53  loss: 0.21350650598198  Accuracy: 70.0588 
round: 54  loss: 0.15937269336509  Accuracy: 72.5205 
round: 55  loss: 0.19389150313269  Accuracy: 68.4079 
round: 56  loss: 0.19881965738446  Accuracy: 70.6903 
round: 57  loss: 0.21492369937279  Accuracy: 68.8167 
round: 58  loss: 0.20659281917325  Accuracy: 69.8209 
round: 59  loss: 0.20823232169442  Accuracy: 66.0887 
round: 60  loss: 0.18165976281475  Accuracy: 67.4354 
round: 61  loss: 0.12613234893951  Accuracy: 69.9504 
round: 62  loss: 0.19493677291086  Accuracy: 68.9355 
round: 63  loss: 0.10864564549979  Accuracy: 68.2698 
round: 64  loss: 0.18443884283234  Accuracy: 68.7802 
round: 65  loss: 0.19619600626445  Accuracy: 67.0125 
round: 66  loss: 0.17603564891042  Accuracy: 71.1904 
round: 67  loss: 0.12698438126550  Accuracy: 73.1986 
round: 68  loss: 0.20115872656961  Accuracy: 70.8300 
round: 69  loss: 0.16612980425423  Accuracy: 75.9086 
round: 70  loss: 0.20300175400400  Accuracy: 72.4175 
round: 71  loss: 0.12687911065822  Accuracy: 74.5872 
round: 72  loss: 0.15705941953201  Accuracy: 70.6059 
round: 73  loss: 0.18560294554497  Accuracy: 70.3235 
round: 74  loss: 0.17455605155680  Accuracy: 71.4863 
round: 75  loss: 0.17053607647877  Accuracy: 68.1518 
round: 76  loss: 0.23173403328527  Accuracy: 70.2172 
round: 77  loss: 0.11970169263360  Accuracy: 69.8081 
round: 78  loss: 0.21673997456490  Accuracy: 68.2782 
round: 79  loss: 0.14511455284312  Accuracy: 72.7389 
round: 80  loss: 0.14679509141554  Accuracy: 70.6684 
round: 81  loss: 0.12854400321203  Accuracy: 72.2866 
round: 82  loss: 0.10038776276017  Accuracy: 76.8058 
round: 83  loss: 0.08745129745803  Accuracy: 68.0075 
round: 84  loss: 0.08411134073536  Accuracy: 74.0228 
round: 85  loss: 0.17182085277511  Accuracy: 70.8978 
round: 86  loss: 0.10421430490997  Accuracy: 72.7386 
round: 87  loss: 0.14597093060177  Accuracy: 71.6448 
round: 88  loss: 0.11485589815885  Accuracy: 75.2501 
round: 89  loss: 0.16400886235307  Accuracy: 70.2128 
round: 90  loss: 0.14400448189747  Accuracy: 74.4132 
round: 91  loss: 0.13080160651268  Accuracy: 70.6976 
round: 92  loss: 0.13573258817853  Accuracy: 71.3924 
round: 93  loss: 0.17302003784357  Accuracy: 71.2097 
round: 94  loss: 0.14757724990036  Accuracy: 69.2954 
round: 95  loss: 0.12586726505417  Accuracy: 71.4035 
