round: 0  loss: 3.38675021067520  L2: 6.13402843  Accuracy: 22.3307  
round: 1  loss: 3.00205574190688  L2: 5.21713448  Accuracy: 23.7154  
round: 2  loss: 2.75986378242158  L2: 5.01693106  Accuracy: 24.7717  
round: 3  loss: 2.51052294551882  L2: 4.95190382  Accuracy: 25.7205  
round: 4  loss: 2.26370006912830  L2: 4.92006636  Accuracy: 27.5211  
round: 5  loss: 2.01519734177621  L2: 5.01189137  Accuracy: 28.5703  
round: 6  loss: 1.76410870127055  L2: 5.10256147  Accuracy: 28.3634  
round: 7  loss: 1.47592647958626  L2: 5.12874508  Accuracy: 29.0571  
round: 8  loss: 1.21708351932555  L2: 5.11045790  Accuracy: 30.0575  
round: 9  loss: 1.01234209475188  L2: 5.08179951  Accuracy: 30.5192  
round: 10  loss: 0.81373778897545  L2: 4.94278002  Accuracy: 30.3207 
round: 11  loss: 0.64332261368919  L2: 4.72033644  Accuracy: 31.6585 
round: 12  loss: 0.53459107675675  L2: 4.55465412  Accuracy: 31.3691 
round: 13  loss: 0.41755139278287  L2: 4.23275661  Accuracy: 31.0086 
round: 14  loss: 0.33152125036202  L2: 3.97276998  Accuracy: 31.3125 
round: 15  loss: 0.27379883609432  L2: 3.80507231  Accuracy: 30.5946 
round: 16  loss: 0.22730851506585  L2: 3.61913991  Accuracy: 31.0331 
round: 17  loss: 0.19527785674455  L2: 3.42027617  Accuracy: 30.9708 
round: 18  loss: 0.21293755477947  L2: 3.55687451  Accuracy: 31.0660 
round: 19  loss: 0.16020726331343  L2: 3.10732436  Accuracy: 30.7003 
round: 20  loss: 0.14231961434148  L2: 3.05697680  Accuracy: 30.6380 
round: 21  loss: 0.10289484489729  L2: 2.71594119  Accuracy: 30.9837 
round: 22  loss: 0.12887535900330  L2: 2.98975515  Accuracy: 29.6117 
round: 23  loss: 0.11414238302491  L2: 2.78481340  Accuracy: 30.8538 
round: 24  loss: 0.14368878282011  L2: 2.85068583  Accuracy: 30.5461 
round: 25  loss: 0.08597708537507  L2: 2.48557472  Accuracy: 30.8121 
round: 26  loss: 0.07789883582589  L2: 2.40307784  Accuracy: 30.8977 
round: 27  loss: 0.08253320409539  L2: 2.52947474  Accuracy: 30.8018 
round: 28  loss: 0.09495506171076  L2: 2.75030851  Accuracy: 30.9741 
round: 29  loss: 0.05725209552075  L2: 2.12104177  Accuracy: 31.0948 
round: 30  loss: 0.07259806281481  L2: 2.32247686  Accuracy: 31.6236 
round: 31  loss: 0.05867541277982  L2: 2.16006446  Accuracy: 32.1223 
round: 32  loss: 0.06805506288248  L2: 2.35399199  Accuracy: 31.2903 
round: 33  loss: 0.05986821738281  L2: 2.20327902  Accuracy: 31.7437 
round: 34  loss: 0.03399616916022  L2: 1.58914101  Accuracy: 33.0773 
round: 35  loss: 0.05511962449628  L2: 2.22552180  Accuracy: 31.0952 
round: 36  loss: 0.04721631979282  L2: 1.82357633  Accuracy: 32.2024 
round: 37  loss: 0.02456129811321  L2: 1.43222487  Accuracy: 33.2388 
round: 38  loss: 0.02307825909554  L2: 1.37249219  Accuracy: 33.6958 
round: 39  loss: 0.05033686861384  L2: 1.90331554  Accuracy: 33.0516 
round: 40  loss: 0.04150775293777  L2: 2.02447414  Accuracy: 32.2591 
round: 41  loss: 0.06745326224250  L2: 2.10833430  Accuracy: 32.1880 
round: 42  loss: 0.02955589404474  L2: 1.60776067  Accuracy: 32.1271 
round: 43  loss: 0.04925452930926  L2: 1.81206989  Accuracy: 32.4921 
round: 44  loss: 0.03808596567585  L2: 1.47767520  Accuracy: 34.4648 
round: 45  loss: 0.04943038790295  L2: 1.71978164  Accuracy: 34.1537 
round: 46  loss: 0.03741421495482  L2: 1.42789638  Accuracy: 34.2958 
round: 47  loss: 0.02943034778520  L2: 1.24704385  Accuracy: 34.8825 
round: 48  loss: 0.02542466256968  L2: 1.37772381  Accuracy: 34.8722 
round: 49  loss: 0.03381225151357  L2: 1.65847909  Accuracy: 33.9396 
round: 50  loss: 0.02525953103235  L2: 1.27357709  Accuracy: 34.7637 
round: 51  loss: 0.02770437502700  L2: 1.37735558  Accuracy: 34.6741 
round: 52  loss: 0.01503409087315  L2: 1.10087371  Accuracy: 34.5373 
round: 53  loss: 0.02523542652097  L2: 1.46203077  Accuracy: 35.0806 
round: 54  loss: 0.04692366387028  L2: 1.46053922  Accuracy: 35.8439 
round: 55  loss: 0.01306035629673  L2: 0.95225370  Accuracy: 35.6565 
round: 56  loss: 0.03577331930799  L2: 1.60796952  Accuracy: 34.7719 
round: 57  loss: 0.02874154028115  L2: 1.16223657  Accuracy: 36.3548 
round: 58  loss: 0.01723000991292  L2: 1.04404998  Accuracy: 37.6973 
round: 59  loss: 0.02742110490864  L2: 1.29730487  Accuracy: 37.3286 
round: 60  loss: 0.03379005875584  L2: 1.34479308  Accuracy: 36.7571 
round: 61  loss: 0.02839678038816  L2: 1.33066106  Accuracy: 36.4849 
round: 62  loss: 0.01020173119721  L2: 0.89031363  Accuracy: 37.5086 
round: 63  loss: 0.01462373687919  L2: 0.97750473  Accuracy: 37.8316 
round: 64  loss: 0.01005365024327  L2: 0.88743889  Accuracy: 38.0015 
round: 65  loss: 0.02809870645318  L2: 0.95818627  Accuracy: 37.1138 
round: 66  loss: 0.01779701521096  L2: 1.09182966  Accuracy: 37.4442 
round: 67  loss: 0.01996245449131  L2: 1.14681637  Accuracy: 38.9538 
round: 68  loss: 0.02433840439782  L2: 1.12304378  Accuracy: 38.6018 
round: 69  loss: 0.02815240737461  L2: 0.95649970  Accuracy: 38.3463 
round: 70  loss: 0.03607432030247  L2: 1.26191163  Accuracy: 37.0045 
round: 71  loss: 0.01032450523263  L2: 0.82054198  Accuracy: 38.8817 
round: 72  loss: 0.00487455486159  L2: 0.51893127  Accuracy: 39.7618 
round: 73  loss: 0.01378297059564  L2: 0.82543647  Accuracy: 39.4050 
round: 74  loss: 0.01499049588007  L2: 0.71890610  Accuracy: 38.5059 
round: 75  loss: 0.04457636243578  L2: 1.38347960  Accuracy: 36.4299 
round: 76  loss: 0.03346245915297  L2: 1.46151710  Accuracy: 37.7908 
round: 77  loss: 0.01267466844738  L2: 0.84042531  Accuracy: 38.7586 
