round: 0  loss: 1.16385214592816  Accuracy: 53.2401  
round: 1  loss: 0.90405946106058  Accuracy: 58.9544  
round: 2  loss: 0.82579180501598  Accuracy: 57.8210  
round: 3  loss: 0.76744708920320  Accuracy: 56.2753  
round: 4  loss: 0.72251307374637  Accuracy: 61.9144  
round: 5  loss: 0.67903091259328  Accuracy: 60.6258  
round: 6  loss: 0.67371492334619  Accuracy: 60.2539  
round: 7  loss: 0.65953207316074  Accuracy: 60.9764  
round: 8  loss: 0.61654447952590  Accuracy: 62.1741  
round: 9  loss: 0.62660400270841  Accuracy: 64.1638  
round: 10  loss: 0.59583648036633  Accuracy: 63.1642 
round: 11  loss: 0.59349746008006  Accuracy: 63.9217 
round: 12  loss: 0.56477132182689  Accuracy: 64.8838 
round: 13  loss: 0.54216808284704  Accuracy: 64.7401 
round: 14  loss: 0.50290783654681  Accuracy: 63.8053 
round: 15  loss: 0.47312261447562  Accuracy: 65.0359 
round: 16  loss: 0.47318175360417  Accuracy: 64.7102 
round: 17  loss: 0.45194791563570  Accuracy: 63.7967 
round: 18  loss: 0.45267585648395  Accuracy: 62.8556 
round: 19  loss: 0.40399397843372  Accuracy: 63.8760 
round: 20  loss: 0.39928065568500  Accuracy: 62.4846 
round: 21  loss: 0.34023157445791  Accuracy: 65.2142 
round: 22  loss: 0.34714543902005  Accuracy: 66.3913 
round: 23  loss: 0.35315007292829  Accuracy: 64.0966 
round: 24  loss: 0.28978286733257  Accuracy: 63.9433 
round: 25  loss: 0.27849098215332  Accuracy: 61.8175 
round: 26  loss: 0.25604112315923  Accuracy: 61.9216 
round: 27  loss: 0.23570635753862  Accuracy: 64.8503 
round: 28  loss: 0.22379796404224  Accuracy: 62.7588 
round: 29  loss: 0.21326763288422  Accuracy: 65.3616 
round: 30  loss: 0.26117337140153  Accuracy: 61.3723 
round: 31  loss: 0.21772588902898  Accuracy: 61.2403 
round: 32  loss: 0.18855226203969  Accuracy: 59.5894 
round: 33  loss: 0.23909668343446  Accuracy: 62.5304 
round: 34  loss: 0.20385886086137  Accuracy: 64.5713 
round: 35  loss: 0.14730493324341  Accuracy: 65.7795 
round: 36  loss: 0.12075312309919  Accuracy: 68.6990 
