round: 0  loss: 1.15174002152718  L2: 3.79747915  Accuracy: 58.5526  
round: 1  loss: 0.93750107297468  L2: 4.29092073  Accuracy: 58.2088  
round: 2  loss: 0.80131219828174  L2: 4.66877270  Accuracy: 60.9154  
round: 3  loss: 0.78754392659773  L2: 5.07914639  Accuracy: 60.0144  
round: 4  loss: 0.69188214950035  L2: 5.11939144  Accuracy: 61.8677  
round: 5  loss: 0.65113449957473  L2: 5.31678534  Accuracy: 62.7970  
round: 6  loss: 0.56822748951054  L2: 5.27862167  Accuracy: 63.2333  
round: 7  loss: 0.48927817064710  L2: 5.23688221  Accuracy: 63.3406  
round: 8  loss: 0.49240874564177  L2: 5.23052359  Accuracy: 64.2248  
round: 9  loss: 0.39892381331690  L2: 5.11048985  Accuracy: 63.3846  
round: 10  loss: 0.39670932479547  L2: 5.09962654  Accuracy: 63.3821 
round: 11  loss: 0.37322836661180  L2: 4.90719318  Accuracy: 64.1567 
round: 12  loss: 0.30293879566863  L2: 4.67250347  Accuracy: 66.0674 
round: 13  loss: 0.26901595609300  L2: 4.32918549  Accuracy: 63.9744 
round: 14  loss: 0.26457048791120  L2: 4.03563118  Accuracy: 64.4275 
round: 15  loss: 0.23182716794768  L2: 3.84818316  Accuracy: 62.9621 
round: 16  loss: 0.21319683684561  L2: 3.84977460  Accuracy: 63.5472 
round: 17  loss: 0.21913515757433  L2: 3.98915291  Accuracy: 64.5510 
round: 18  loss: 0.20945589310436  L2: 3.68405151  Accuracy: 63.6618 
round: 19  loss: 0.19185185504557  L2: 3.67924047  Accuracy: 63.6007 
round: 20  loss: 0.17375354443084  L2: 3.50684357  Accuracy: 64.0229 
round: 21  loss: 0.17047162054666  L2: 3.05263281  Accuracy: 65.0681 
round: 22  loss: 0.18691448057583  L2: 3.52628183  Accuracy: 66.9605 
round: 23  loss: 0.12491421126841  L2: 3.11624503  Accuracy: 63.3871 
round: 24  loss: 0.19511884588838  L2: 3.58747911  Accuracy: 65.8742 
round: 25  loss: 0.13523729037664  L2: 2.57948446  Accuracy: 67.2396 
round: 26  loss: 0.13953773640218  L2: 2.65082836  Accuracy: 62.9464 
round: 27  loss: 0.08736949471604  L2: 3.21117592  Accuracy: 65.9489 
round: 28  loss: 0.12590665826122  L2: 2.27134538  Accuracy: 67.0312 
round: 29  loss: 0.08076092024985  L2: 2.50398183  Accuracy: 66.1069 
round: 30  loss: 0.10057228372308  L2: 2.35792446  Accuracy: 61.1390 
round: 31  loss: 0.13311412039693  L2: 2.33104897  Accuracy: 67.2672 
round: 32  loss: 0.11473750908662  L2: 2.19885278  Accuracy: 66.7211 
round: 33  loss: 0.10023693194462  L2: 1.79697871  Accuracy: 68.8989 
round: 34  loss: 0.10357741690646  L2: 2.07521653  Accuracy: 68.6188 
round: 35  loss: 0.12764641492440  L2: 3.01530123  Accuracy: 66.9905 
round: 36  loss: 0.09857698417494  L2: 2.04291391  Accuracy: 66.5014 
round: 37  loss: 0.10516866190211  L2: 2.77005744  Accuracy: 66.8278 
round: 38  loss: 0.09470653601219  L2: 1.62239385  Accuracy: 70.5669 
round: 39  loss: 0.15078481889629  L2: 3.52914691  Accuracy: 62.3313 
round: 40  loss: 0.11459391354962  L2: 2.06041694  Accuracy: 71.2884 
round: 41  loss: 0.12111979086979  L2: 2.01316381  Accuracy: 69.7767 
round: 42  loss: 0.10275282811205  L2: 1.70680940  Accuracy: 70.3577 
round: 43  loss: 0.08369530366879  L2: 1.59031451  Accuracy: 69.1138 
round: 44  loss: 0.08302735754329  L2: 1.89601552  Accuracy: 70.8864 
round: 45  loss: 0.10398728714171  L2: 1.81444478  Accuracy: 69.1933 
round: 46  loss: 0.09888017942060  L2: 2.25110579  Accuracy: 68.8785 
