round: 80  loss: 0.01594161933938  L2: 0.97691458  Accuracy: 75.9295 
round: 81  loss: 0.01277030098659  L2: 0.81305999  Accuracy: 76.4000 
round: 82  loss: 0.00448885285608  L2: 0.62612385  Accuracy: 75.7656 
round: 83  loss: 0.00495150003810  L2: 0.47358027  Accuracy: 77.0443 
round: 84  loss: 0.00035869346044  L2: 0.14981541  Accuracy: 78.2282 
round: 85  loss: 0.00781221629202  L2: 0.62430185  Accuracy: 77.2730 
round: 86  loss: 0.00045933784777  L2: 0.18991880  Accuracy: 78.5206 
round: 87  loss: 0.01595844420992  L2: 0.74405396  Accuracy: 74.3687 
round: 88  loss: 0.00031780194160  L2: 0.12382318  Accuracy: 78.6768 
round: 89  loss: 0.00165648128232  L2: 0.26930806  Accuracy: 77.4449 
round: 90  loss: 0.00068399789364  L2: 0.13521698  Accuracy: 77.4260 
round: 91  loss: 0.00275395235430  L2: 0.40296784  Accuracy: 77.9882 
round: 92  loss: 0.00620356927888  L2: 0.48745054  Accuracy: 77.9500 
round: 93  loss: 0.00030002724792  L2: 0.13765240  Accuracy: 78.9543 
round: 94  loss: 0.00074617037750  L2: 0.26463470  Accuracy: 77.7659 
round: 95  loss: 0.00028080846790  L2: 0.12369905  Accuracy: 78.8829 
round: 96  loss: 0.00586401841991  L2: 0.58998221  Accuracy: 77.0311 
round: 97  loss: 0.00980575333496  L2: 0.54833859  Accuracy: 77.5941 
round: 98  loss: 0.00326221100448  L2: 0.41904593  Accuracy: 76.3703 
round: 99  loss: 0.00069510102890  L2: 0.19014271  Accuracy: 78.0659 
round: 100  loss: 0.00122404616211  L2: 0.27158576  Accuracy: 78.8781
