round: 0  loss: 3.46099154208140  Accuracy: 20.6487  
round: 1  loss: 3.08886311653508  Accuracy: 22.4588  
round: 2  loss: 2.85770398570789  Accuracy: 23.7786  
round: 3  loss: 2.64378020202600  Accuracy: 25.5277  
round: 4  loss: 2.44760517391655  Accuracy: 26.4345  
round: 5  loss: 2.20659311872725  Accuracy: 26.9990  
round: 6  loss: 2.00595834663009  Accuracy: 27.1214  
round: 7  loss: 1.79053193220416  Accuracy: 28.1382  
round: 8  loss: 1.61172906988353  Accuracy: 28.3528  
round: 9  loss: 1.43611472403976  Accuracy: 29.3769  
round: 10  loss: 1.23846062919139  Accuracy: 29.3065 
round: 11  loss: 1.10601503109222  Accuracy: 29.4501 
round: 12  loss: 0.99115582369455  Accuracy: 30.2237 
round: 13  loss: 0.86824797139702  Accuracy: 30.4452 
round: 14  loss: 0.78611437909320  Accuracy: 30.1720 
round: 15  loss: 0.70744994785109  Accuracy: 30.8655 
round: 16  loss: 0.65867050997264  Accuracy: 31.4807 
round: 17  loss: 0.56604571928053  Accuracy: 30.8084 
round: 18  loss: 0.50981748232498  Accuracy: 31.0041 
round: 19  loss: 0.47147998815975  Accuracy: 31.5610 
round: 20  loss: 0.44197767846481  Accuracy: 31.9640 
round: 21  loss: 0.41898643377330  Accuracy: 31.1826 
round: 22  loss: 0.38614604235189  Accuracy: 31.2858 
round: 23  loss: 0.36094258836452  Accuracy: 32.0357 
round: 24  loss: 0.35205386939349  Accuracy: 31.9420 
round: 25  loss: 0.30933271036691  Accuracy: 32.2773 
round: 26  loss: 0.32216417127316  Accuracy: 31.0907 
round: 27  loss: 0.31215587596904  Accuracy: 32.2076 
round: 28  loss: 0.28161040072248  Accuracy: 31.8350 
round: 29  loss: 0.27455962352104  Accuracy: 31.2713 
round: 30  loss: 0.27096403827782  Accuracy: 32.5907 
round: 31  loss: 0.25704461582845  Accuracy: 32.3385 
round: 32  loss: 0.24286436074076  Accuracy: 32.5302 
round: 33  loss: 0.24685706882269  Accuracy: 32.7760 
round: 34  loss: 0.25355525790186  Accuracy: 32.4905 
round: 35  loss: 0.24283502589675  Accuracy: 31.2293 
round: 36  loss: 0.22313858079199  Accuracy: 33.2590 
round: 37  loss: 0.22768742890183  Accuracy: 32.5587 
round: 38  loss: 0.22170858137082  Accuracy: 32.0250 
round: 39  loss: 0.22162195499714  Accuracy: 31.7925 
round: 40  loss: 0.21223019219368  Accuracy: 31.0436 
round: 41  loss: 0.23029848013739  Accuracy: 33.8392 
round: 42  loss: 0.20612749223955  Accuracy: 32.0986 
round: 43  loss: 0.20990937406887  Accuracy: 32.8558 
round: 44  loss: 0.21131993521543  Accuracy: 32.4293 
round: 45  loss: 0.20418664447049  Accuracy: 32.4714 
round: 46  loss: 0.21782896579743  Accuracy: 33.1879 
round: 47  loss: 0.21804755056206  Accuracy: 32.0998 
round: 48  loss: 0.21813365197448  Accuracy: 33.1401 
round: 49  loss: 0.22645799605106  Accuracy: 32.1140 
round: 50  loss: 0.22019100152375  Accuracy: 33.3003 
round: 51  loss: 0.21460016015070  Accuracy: 32.9256 
round: 52  loss: 0.21108255884815  Accuracy: 34.0142 
round: 53  loss: 0.22134933588642  Accuracy: 33.0135 
round: 54  loss: 0.22476799190789  Accuracy: 33.3089 
round: 55  loss: 0.20190301985160  Accuracy: 32.4271 
round: 56  loss: 0.22092052919946  Accuracy: 33.5028 
round: 57  loss: 0.21368812984932  Accuracy: 33.4400 
round: 58  loss: 0.19003635123360  Accuracy: 32.2176 
round: 59  loss: 0.21498998438292  Accuracy: 33.3991 
round: 60  loss: 0.23655254236125  Accuracy: 31.3237 
round: 61  loss: 0.21852557841101  Accuracy: 32.7151 
round: 62  loss: 0.21498036095253  Accuracy: 32.2638 
round: 63  loss: 0.22236158772105  Accuracy: 31.9686 
round: 64  loss: 0.21433052128738  Accuracy: 33.5407 
round: 65  loss: 0.20330328741792  Accuracy: 35.2231 
round: 66  loss: 0.19430222388312  Accuracy: 33.6494 
round: 67  loss: 0.20647749424066  Accuracy: 33.3920 
round: 68  loss: 0.20819197606432  Accuracy: 34.7456 
round: 69  loss: 0.19615208970282  Accuracy: 33.5170 
round: 70  loss: 0.21622078921164  Accuracy: 34.1604 
round: 71  loss: 0.21893005106622  Accuracy: 34.5580 
round: 72  loss: 0.20602214372464  Accuracy: 34.6404 
round: 73  loss: 0.17270551933349  Accuracy: 35.2713 
round: 74  loss: 0.21849052906429  Accuracy: 34.4514 
round: 75  loss: 0.21015971533493  Accuracy: 35.9157 
round: 76  loss: 0.21554227131891  Accuracy: 34.7512 
round: 77  loss: 0.23316109028678  Accuracy: 34.2677 
round: 78  loss: 0.21450400073448  Accuracy: 35.6141 
round: 79  loss: 0.17758364002072  Accuracy: 35.3646 
round: 80  loss: 0.16567153470843  Accuracy: 35.5089 
round: 81  loss: 0.20182199628643  Accuracy: 35.6504 
round: 82  loss: 0.21636534562970  Accuracy: 33.1610 
round: 83  loss: 0.17720603155111  Accuracy: 35.2246 
round: 84  loss: 0.19359358404840  Accuracy: 35.8722 
round: 85  loss: 0.18567454213579  Accuracy: 36.6969 
round: 86  loss: 0.18773381029114  Accuracy: 33.8061 
round: 87  loss: 0.16329369537408  Accuracy: 35.5879 
round: 88  loss: 0.18566383158871  Accuracy: 37.3309 
round: 89  loss: 0.22457170054895  Accuracy: 35.2628 
round: 90  loss: 0.18784879113304  Accuracy: 34.8723 
round: 91  loss: 0.19732596459808  Accuracy: 34.9337 
round: 92  loss: 0.17541679619756  Accuracy: 32.8800 
round: 93  loss: 0.20949356888705  Accuracy: 35.0610 
round: 94  loss: 0.17556383265490  Accuracy: 36.9850 
round: 95  loss: 0.19841230534020  Accuracy: 37.2002 
round: 96  loss: 0.18559432133670  Accuracy: 37.0766 
round: 97  loss: 0.18041132757031  Accuracy: 37.5513 
round: 98  loss: 0.17872565553778  Accuracy: 37.3213 
round: 99  loss: 0.16603487513730  Accuracy: 39.0696 
