round: 0  loss: 3.47595470450108  L2: 6.11181688  Accuracy: 20.2764  
round: 1  loss: 3.03286958585539  L2: 4.91723156  Accuracy: 21.8035  
round: 2  loss: 2.71744206622089  L2: 4.71522427  Accuracy: 23.9860  
round: 3  loss: 2.42668611602434  L2: 4.79279327  Accuracy: 25.1342  
round: 4  loss: 2.12322114541749  L2: 4.90761280  Accuracy: 26.4451  
round: 5  loss: 1.82669028715006  L2: 5.05724382  Accuracy: 27.3839  
round: 6  loss: 1.53710398996138  L2: 5.19947386  Accuracy: 28.1935  
round: 7  loss: 1.28342365409399  L2: 5.20416355  Accuracy: 28.8276  
round: 8  loss: 1.04159238569560  L2: 5.18713713  Accuracy: 30.5725  
round: 9  loss: 0.90951489016431  L2: 5.22730255  Accuracy: 30.1916  
round: 10  loss: 0.71363396476276  L2: 4.95351982  Accuracy: 30.7344 
round: 11  loss: 0.61337514560652  L2: 4.85527372  Accuracy: 31.3338 
round: 12  loss: 0.51456128437678  L2: 4.64032078  Accuracy: 31.5532 
round: 13  loss: 0.44526808671785  L2: 4.51107883  Accuracy: 31.3824 
round: 14  loss: 0.38192714382586  L2: 4.30974245  Accuracy: 31.5729 
round: 15  loss: 0.34863373409305  L2: 4.15849304  Accuracy: 30.9406 
round: 16  loss: 0.32049745642230  L2: 4.10634756  Accuracy: 31.3611 
round: 17  loss: 0.25961287221579  L2: 3.84181738  Accuracy: 31.1230 
round: 18  loss: 0.24778907249089  L2: 3.74047899  Accuracy: 31.2208 
round: 19  loss: 0.23723039478921  L2: 3.67521524  Accuracy: 30.9421 
round: 20  loss: 0.19772466140209  L2: 3.54787707  Accuracy: 31.2146 
round: 21  loss: 0.20775896080980  L2: 3.60722160  Accuracy: 30.9514 
round: 22  loss: 0.23273772775370  L2: 3.78341913  Accuracy: 31.5641 
round: 23  loss: 0.19099668090144  L2: 3.48265123  Accuracy: 31.0497 
round: 24  loss: 0.18318205860129  L2: 3.20040560  Accuracy: 30.8422 
round: 25  loss: 0.14218163395870  L2: 2.89588213  Accuracy: 31.3003 
round: 26  loss: 0.16904133732965  L2: 3.06585884  Accuracy: 33.0515 
round: 27  loss: 0.12649127477429  L2: 2.66942358  Accuracy: 33.3008 
round: 28  loss: 0.13507911598438  L2: 2.88923573  Accuracy: 31.5433 
round: 29  loss: 0.15332099959602  L2: 2.94995642  Accuracy: 32.2279 
round: 30  loss: 0.16387487877132  L2: 3.24842596  Accuracy: 31.7506 
round: 31  loss: 0.12413755908818  L2: 2.84061790  Accuracy: 32.1530 
round: 32  loss: 0.11719830389124  L2: 2.49700689  Accuracy: 32.7876 
round: 33  loss: 0.06764448574693  L2: 1.95819354  Accuracy: 33.5286 
round: 34  loss: 0.11960300173526  L2: 2.28678799  Accuracy: 34.6838 
round: 35  loss: 0.11965857207751  L2: 2.44093680  Accuracy: 33.5827 
round: 36  loss: 0.08618273067662  L2: 2.05974030  Accuracy: 35.6516 
round: 37  loss: 0.08255849402677  L2: 2.04225326  Accuracy: 35.4596 
round: 38  loss: 0.10708486021466  L2: 2.14015579  Accuracy: 35.2575 
round: 39  loss: 0.06089692317003  L2: 1.86083829  Accuracy: 34.3284 
round: 40  loss: 0.07829228790279  L2: 2.02118134  Accuracy: 36.0782 
round: 41  loss: 0.07335684515002  L2: 2.08220291  Accuracy: 34.0254 
round: 42  loss: 0.07730218364366  L2: 1.84453034  Accuracy: 37.1473 
round: 43  loss: 0.05340105665659  L2: 1.38809371  Accuracy: 37.4161 
round: 44  loss: 0.12257215746660  L2: 2.44293952  Accuracy: 36.1452 
round: 45  loss: 0.03236357714734  L2: 1.24081933  Accuracy: 37.6743 
round: 46  loss: 0.06138579730458  L2: 1.14700365  Accuracy: 40.6663 
round: 47  loss: 0.09155835658292  L2: 1.66903651  Accuracy: 39.4058 
round: 48  loss: 0.04041276523346  L2: 1.12111390  Accuracy: 39.7764 
round: 49  loss: 0.05895402595667  L2: 1.32644653  Accuracy: 38.7542 
round: 50  loss: 0.04911101169181  L2: 1.21028256  Accuracy: 40.4148 
round: 51  loss: 0.09854133058911  L2: 1.43166888  Accuracy: 39.8855 
round: 52  loss: 0.08055935921269  L2: 1.66050017  Accuracy: 38.1162 
round: 53  loss: 0.09477210070428  L2: 1.79496992  Accuracy: 38.0935 
round: 54  loss: 0.03024619857098  L2: 1.12470245  Accuracy: 37.5651 
round: 55  loss: 0.05644924454929  L2: 1.50030267  Accuracy: 39.8817 
round: 56  loss: 0.05268059629639  L2: 1.40994585  Accuracy: 38.6595 
round: 57  loss: 0.12024016877106  L2: 1.93343925  Accuracy: 38.1664 
round: 58  loss: 0.06697834645862  L2: 1.64411831  Accuracy: 38.6710 
round: 59  loss: 0.07162946000525  L2: 1.98957312  Accuracy: 37.2538 
round: 60  loss: 0.06674896968943  L2: 1.48983538  Accuracy: 39.4636 
round: 61  loss: 0.04473864247135  L2: 1.26305187  Accuracy: 40.4758 
round: 62  loss: 0.05780676359965  L2: 1.09207666  Accuracy: 41.3859 
round: 63  loss: 0.06880587063261  L2: 1.12297630  Accuracy: 42.2958 
round: 64  loss: 0.04383993975187  L2: 0.93756562  Accuracy: 42.2327 
round: 65  loss: 0.06532523717970  L2: 1.22104669  Accuracy: 41.2863 
round: 66  loss: 0.03924085970806  L2: 1.23096526  Accuracy: 40.3097 
round: 67  loss: 0.04828234628117  L2: 0.97507298  Accuracy: 41.0606 
round: 68  loss: 0.04551808952597  L2: 1.20402539  Accuracy: 39.4748 
round: 69  loss: 0.07062505676787  L2: 1.28997231  Accuracy: 40.2720 
round: 70  loss: 0.06333235153941  L2: 1.33982217  Accuracy: 40.5254 
round: 71  loss: 0.03018359213132  L2: 1.09897876  Accuracy: 40.5471 
round: 72  loss: 0.05286177450287  L2: 1.17473698  Accuracy: 41.8141 
round: 73  loss: 0.05496960986194  L2: 1.04583681  Accuracy: 42.4200 
round: 74  loss: 0.04824989806647  L2: 1.21085954  Accuracy: 41.4585 
round: 75  loss: 0.02575854775148  L2: 0.81977397  Accuracy: 42.1755 
round: 76  loss: 0.02644081096780  L2: 0.87244004  Accuracy: 41.4978 
round: 77  loss: 0.04883432130026  L2: 1.32104039  Accuracy: 39.5987 
round: 78  loss: 0.00926262757917  L2: 0.58276689  Accuracy: 41.7456 
round: 79  loss: 0.02101680974928  L2: 0.94160873  Accuracy: 40.4476 
round: 80  loss: 0.04914925811441  L2: 1.30855775  Accuracy: 40.6385 
round: 81  loss: 0.07533657850984  L2: 1.58039701  Accuracy: 39.4865 
round: 82  loss: 0.07188635504673  L2: 1.20853615  Accuracy: 41.4593 
round: 83  loss: 0.06071203450410  L2: 1.19747484  Accuracy: 41.6968 
round: 84  loss: 0.10901670629354  L2: 1.59623003  Accuracy: 41.5605 
round: 85  loss: 0.03672413009038  L2: 1.22378027  Accuracy: 42.0525 
round: 86  loss: 0.03392663459970  L2: 0.99727410  Accuracy: 42.0456 
round: 87  loss: 0.06703874703493  L2: 1.16744900  Accuracy: 42.5545 
round: 88  loss: 0.05588275870292  L2: 1.02129507  Accuracy: 43.3114 
round: 89  loss: 0.03099406062038  L2: 1.05162072  Accuracy: 42.5108 
round: 90  loss: 0.04691588725981  L2: 1.49226427  Accuracy: 40.6474 
round: 91  loss: 0.04122965023661  L2: 0.98556030  Accuracy: 43.0207 
round: 92  loss: 0.01432075498953  L2: 0.67429626  Accuracy: 42.8382 
round: 93  loss: 0.03568590836086  L2: 0.93425310  Accuracy: 43.5635 
round: 94  loss: 0.08381359170631  L2: 1.41498137  Accuracy: 43.2095 
round: 95  loss: 0.07180549872987  L2: 1.42241943  Accuracy: 44.1899 
round: 96  loss: 0.05076070790285  L2: 1.07737362  Accuracy: 41.6225 
round: 97  loss: 0.02579723865332  L2: 0.89535123  Accuracy: 42.7750 
round: 98  loss: 0.02087579173355  L2: 0.77353013  Accuracy: 43.0052  
round: 99  loss: 0.02967969779200  L2: 0.86281049  Accuracy: 42.3457  
